Codi	Municipi	BIG	QRA
431074	Pira	17.724	3.617
431080	Pla de Santa Maria, el	18.891	4.476
81640	Pla del Penedès, el	20.778	4.793
171334	Planes d'Hostoles, les	18.726	4.321
171349	Planoles	20.776	11.861
259118	Plans de Sió, els	17.701	4.544
251689	Poal, el	18.284	4.918
251692	Pobla de Cérvoles, la	17.415	5.093
81653	Pobla de Claramunt, la	21.010	4.879
81666	Pobla de Lillet, la	16.488	3.846
431093	Pobla de Mafumet, la	19.448	4.138
431107	Pobla de Massaluca, la	12.321	3.397
431114	Pobla de Montornès, la	19.458	4.845
251713	Pobla de Segur, la	20.380	5.374
431129	Poboleda	13.839	3.899
81672	Polinyà	21.482	4.593
431135	Pont d'Armentera, el	16.954	3.460
250306	Pont de Bar, el	12.756	3.372
171352	Pont de Molins	21.623	4.931
251734	Pont de Suert, el	20.290	6.373
81825	Pont de Vilomara i Rocafort, el	19.444	4.161
431418	Pontils	23.532	7.680
81688	Pontons	15.944	3.293
171365	Pontós	22.226	6.066
251728	Ponts	18.644	4.607
171371	Porqueres	22.071	5.364
431140	Porrera	17.358	4.870
171404	Port de la Selva, el	22.734	6.316
171387	Portbou	21.136	4.792
251749	Portella, la	14.668	3.661
431153	Pradell de la Teixeta	15.705	3.538
431166	Prades	16.417	4.386
431172	Prat de Comte	15.358	4.568
81691	Prat de Llobregat, el	21.831	4.914
431188	Pratdip	17.985	6.853
81712	Prats de Lluçanès	19.355	4.596
81705	Prats de Rei, els	19.848	4.718
251752	Prats i Sansor	20.329	4.878
251765	Preixana	17.812	5.569
251771	Preixens	15.778	4.858
82303	Premià de Dalt	30.231	9.445
81727	Premià de Mar	24.273	6.268
171390	Preses, les	22.995	5.604
251790	Prullans	16.311	6.265
171411	Puigcerdà	18.921	5.953
81748	Puigdàlber	23.671	5.765
251804	Puiggròs	16.594	3.861
431191	Puigpelat	21.817	5.123
81751	Puig-reig	18.489	4.547
251811	Puigverd d'Agramunt	18.203	4.255
251826	Puigverd de Lleida	18.225	4.381
81764	Pujalt	19.480	4.127
81770	Quar, la	18.133	..
171426	Quart	25.139	5.799
170433	Queralbs	23.438	5.220
431205	Querol	19.546	4.159
171432	Rabós	14.851	3.631
81786	Rajadell	25.461	7.795
431212	Rasquera	15.285	4.124
171447	Regencós	20.922	6.301
81799	Rellinars	21.326	5.059
431227	Renau	23.283	5.376
431233	Reus	21.287	5.619
251832	Rialp	18.646	4.525
431248	Riba, la	24.825	6.849
431251	Riba-roja d'Ebre	22.504	5.912
259059	Ribera d'Ondara	18.660	4.030
251850	Ribera d'Urgellet	17.882	4.538
171450	Ribes de Freser	20.267	5.048
171463	Riells i Viabrea	21.497	4.894
431264	Riera de Gaià, la	22.356	5.499
251863	Riner	17.806	4.242
171479	Ripoll	20.831	4.926
